matches_gk,starts_gk,minutes_gk,nineties_gk,goals_ag,sot_ag,saves,gk_won,gk_drew,gk_lost,cs,pk_att_ag,pk_scored_ag,pk_saved,pk_missed_ag,season,comp,id
38,38,3420,38.0,56,173,118,11,11,16,10,4,4,0,0,19,ITA,ab4449d6
35,35,3150,35.0,64,201,138,5,9,21,8,5,5,0,0,19,ITA,ac4003af
2,1,90,1.0,7,12,5,0,0,1,0,0,0,0,0,19,ITA,c4f573f4
2,2,180,2.0,4,13,9,1,0,1,0,0,0,0,0,19,ITA,c8a88acd
20,19,1723,19.2,27,76,49,3,6,10,6,1,1,0,0,19,ITA,cecbce23
10,10,900,10.0,13,46,34,1,3,6,2,0,0,0,0,19,ITA,e1b0a70d
4,2,328,3.7,5,14,9,1,0,1,1,1,1,0,0,19,ITA,e358587b
27,27,2430,27.0,42,126,85,12,8,7,4,6,4,0,2,19,ITA,e7ee38c3
18,18,1620,18.0,25,63,41,9,3,6,5,2,1,0,1,19,ITA,ee833569
6,6,540,6.0,8,32,24,1,3,2,2,0,0,0,0,19,ITA,f02dde20
3,2,202,2.3,4,12,8,0,1,1,0,0,0,0,0,19,ITA,f058ed1f
20,20,1800,20.0,21,70,49,11,6,3,4,3,3,0,0,19,ITA,f0f7f62f
38,38,3420,38.0,54,205,151,10,11,17,7,10,8,2,0,19,ITA,f554e29b
1,1,90,1.0,2,3,1,0,0,1,0,0,0,0,0,19,ITA,f6a06749
4,4,360,4.0,10,18,9,2,0,2,1,0,0,0,0,19,ITA,f794b426
29,29,2591,28.8,33,129,95,19,4,6,11,10,8,1,1,20,ITA,01b8a2b2
31,31,2790,31.0,43,139,94,7,12,12,8,8,6,2,0,20,ITA,085e71a7
36,36,3201,35.6,42,141,96,18,9,9,12,8,4,4,0,20,ITA,08f5afaa
35,35,3150,35.0,43,159,117,11,13,11,9,7,7,0,0,20,ITA,0d422df7
3,3,270,3.0,8,15,7,1,0,2,1,2,2,0,0,20,ITA,0dfce079
2,2,180,2.0,4,16,12,0,1,1,0,1,1,0,0,20,ITA,0f47717b
36,36,3240,36.0,64,197,135,11,6,19,7,10,9,1,0,20,ITA,10dc46f0
1,1,90,1.0,1,2,1,0,1,0,0,0,0,0,0,20,ITA,18736214
32,32,2880,32.0,45,132,86,18,6,8,5,9,8,1,0,20,ITA,20b9f052
1,1,90,1.0,1,5,4,0,1,0,0,0,0,0,0,20,ITA,28a15394
5,5,450,5.0,5,24,19,2,1,2,2,1,1,0,0,20,ITA,30223b33
38,38,3420,38.0,42,154,112,24,6,8,11,9,7,1,1,20,ITA,339fe0e8
34,34,3060,34.0,53,193,137,13,6,15,5,9,6,3,0,20,ITA,343f753a
10,10,900,10.0,29,65,36,0,1,9,0,1,0,1,0,20,ITA,4a6914ff
21,21,1890,21.0,38,103,66,8,4,9,5,2,1,0,1,20,ITA,4c62d0c8
5,4,423,4.7,9,29,20,3,0,1,1,1,1,0,0,20,ITA,582a251c
36,36,3240,36.0,60,165,109,12,5,19,9,8,7,0,1,20,ITA,649b01d8
17,17,1530,17.0,35,98,64,2,5,10,2,7,6,0,1,20,ITA,67f649be
4,4,360,4.0,4,19,15,1,1,2,1,2,1,0,1,20,ITA,72be9309
35,35,3150,35.0,32,110,78,22,10,3,13,3,2,1,0,20,ITA,74419746
2,1,129,1.4,3,7,4,0,0,1,0,1,1,0,0,20,ITA,7b4de647
1,0,11,0.1,1,1,0,0,0,0,0,0,0,0,0,20,ITA,7b5f516f
29,29,2610,29.0,59,181,124,5,6,18,5,10,9,1,0,20,ITA,7f66ea09
1,1,90,1.0,1,2,1,1,0,0,0,0,0,0,0,20,ITA,82328faf
17,17,1469,16.3,17,54,37,9,3,5,4,2,2,0,0,20,ITA,82b1198a
31,31,2790,31.0,55,145,92,12,5,14,5,8,7,1,0,20,ITA,8cabdc1e
22,21,1951,21.7,33,84,51,9,5,7,3,6,5,1,0,20,ITA,9413b19f
4,4,279,3.1,4,11,7,1,0,3,1,0,0,0,0,20,ITA,95adf1e1
1,1,90,1.0,3,6,3,0,0,1,0,1,1,0,0,20,ITA,96640846
2,2,180,2.0,5,13,8,0,1,1,0,1,1,0,0,20,ITA,9f5a610b
38,38,3420,38.0,51,194,141,12,9,17,14,10,8,2,0,20,ITA,a111cf41
37,37,3330,37.0,64,187,123,12,10,15,2,8,6,1,1,20,ITA,ab4449d6
6,5,525,5.8,5,18,13,4,0,1,2,0,0,0,0,20,ITA,ac4003af
2,2,180,2.0,4,12,8,0,2,0,0,1,1,0,0,20,ITA,bf168004
4,4,270,3.0,4,8,4,2,0,1,1,1,1,0,0,20,ITA,cf1c23d8
1,0,6,0.1,0,0,0,0,0,0,1,0,0,0,0,20,ITA,d4890c25
6,5,454,5.0,11,17,6,1,1,3,0,3,2,0,1,20,ITA,dd06d56c
7,7,624,6.9,5,23,18,5,1,1,2,3,3,0,0,20,ITA,e1b0a70d
2,2,90,1.0,1,6,4,1,0,0,0,1,0,1,0,20,ITA,e358587b
9,9,810,9.0,10,33,23,7,1,1,1,2,1,0,1,20,ITA,e40d028b
17,17,1524,16.9,24,89,67,8,5,4,4,4,4,0,0,20,ITA,e7ee38c3
26,26,2340,26.0,44,147,105,5,3,18,3,6,6,0,0,20,ITA,ee833569
5,5,450,5.0,4,27,24,2,2,1,2,0,0,0,0,20,ITA,f058ed1f
33,33,2884,32.0,42,120,81,19,9,5,8,6,6,0,0,20,ITA,f0f7f62f
16,16,1440,16.0,21,89,68,2,6,8,3,2,1,1,0,20,ITA,f554e29b
1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,20,ITA,f6a06749
34,34,2997,33.3,76,227,152,6,8,20,2,12,10,2,0,20,ITA,f93ed0df
6,5,531,5.9,16,44,28,0,1,4,0,1,0,0,1,20,ITA,fe471a89
30,30,2677,29.7,32,98,66,16,8,6,5,6,4,2,0,21,ITA,01b8a2b2
36,36,3148,35.0,55,141,85,9,12,15,7,10,8,2,0,21,ITA,085e71a7
37,37,3330,37.0,38,126,88,24,6,7,14,4,2,1,1,21,ITA,08f5afaa
34,34,3060,34.0,42,131,91,11,9,14,7,7,6,0,1,21,ITA,0d422df7
32,32,2880,32.0,62,134,72,5,13,14,7,9,8,0,1,21,ITA,10dc46f0
6,6,540,6.0,9,27,18,0,5,1,1,1,1,0,0,21,ITA,18736214
21,20,1817,20.2,29,85,59,10,4,6,4,3,3,0,0,21,ITA,20b9f052
29,29,2610,29.0,55,131,75,6,10,13,4,7,6,1,0,21,ITA,277da414
13,13,1153,12.8,19,56,36,6,3,4,5,3,2,1,0,21,ITA,30223b33
2,2,180,2.0,5,6,1,1,0,1,0,0,0,0,0,21,ITA,326d09ef
9,9,810,9.0,14,38,24,3,2,4,3,2,2,0,0,21,ITA,339fe0e8
36,36,3240,36.0,76,181,108,3,11,22,5,2,2,0,0,21,ITA,343f753a
1,1,90,1.0,2,4,2,0,0,1,0,1,1,0,0,21,ITA,41bd99ea
4,4,332,3.7,6,13,7,0,3,1,0,0,0,0,0,21,ITA,457cb02f
1,1,90,1.0,0,1,1,1,0,0,1,0,0,0,0,21,ITA,4a6914ff
32,32,2879,32.0,44,158,116,9,11,12,8,7,7,0,0,21,ITA,4c62d0c8
1,1,90,1.0,0,1,1,0,1,0,1,0,0,0,0,21,ITA,4dea2f2c
37,37,3330,37.0,54,173,118,14,7,16,6,9,7,2,0,21,ITA,649b01d8
4,4,360,4.0,10,19,10,0,1,3,0,1,1,0,0,21,ITA,6662d731
2,1,135,1.5,1,6,5,1,0,0,0,0,0,0,0,21,ITA,67f649be
1,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0,21,ITA,7033ca08
2,2,180,2.0,7,10,3,0,0,2,0,1,1,0,0,21,ITA,72be9309
37,37,3240,36.0,33,110,76,27,7,3,14,6,4,2,0,21,ITA,74419746
4,4,360,4.0,6,21,15,3,0,1,1,0,0,0,0,21,ITA,77d6fd4d
5,5,450,5.0,7,26,19,2,1,2,2,0,0,0,0,21,ITA,82328faf
16,16,1440,16.0,12,42,30,11,0,5,8,3,3,0,0,21,ITA,82b1198a
37,37,3330,37.0,56,185,129,17,10,10,7,5,4,1,0,21,ITA,8cabdc1e
22,22,1980,22.0,29,81,53,13,5,4,6,2,2,0,0,21,ITA,9413b19f
3,2,206,2.3,3,12,9,1,0,1,1,0,0,0,0,21,ITA,94a3606c
1,1,90,1.0,1,3,2,0,1,0,0,0,0,0,0,21,ITA,96640846
5,5,450,5.0,6,20,14,2,2,1,1,1,1,0,0,21,ITA,9fa26bc2
35,35,3147,35.0,51,149,98,9,10,16,8,13,13,0,0,21,ITA,a111cf41
28,28,2520,28.0,46,147,100,10,5,13,4,7,5,2,0,21,ITA,ab4449d6
15,13,1261,14.0,21,47,25,9,1,3,2,2,1,1,0,21,ITA,ac4003af
1,1,90,1.0,3,7,4,0,1,0,0,1,1,0,0,21,ITA,b056e3da
1,1,90,1.0,1,8,7,0,1,0,0,0,0,0,0,21,ITA,c195ae4a
37,37,3330,37.0,74,172,103,7,11,19,7,5,4,1,0,21,ITA,c1d95617
7,7,603,6.7,12,29,17,3,1,3,0,3,3,0,0,21,ITA,cc1a0c57
1,0,45,0.5,1,2,1,0,0,0,0,1,1,0,0,21,ITA,cf1c23d8
3,2,207,2.3,5,18,13,0,1,1,1,0,0,0,0,21,ITA,dd06d56c
4,2,272,3.0,4,11,7,0,1,1,2,1,0,1,0,21,ITA,e1b0a70d
29,29,2610,29.0,41,113,74,18,3,8,9,8,8,0,0,21,ITA,e358587b
8,8,720,8.0,5,21,15,7,1,0,3,3,2,1,0,21,ITA,e40d028b
1,1,90,1.0,1,5,4,0,1,0,0,0,0,0,0,21,ITA,e4b39692
36,36,3240,36.0,91,207,118,6,3,27,2,5,5,0,0,21,ITA,e66ebabb
1,0,28,0.3,0,1,1,0,0,0,0,0,0,0,0,21,ITA,ec1f737d
1,1,90,1.0,0,1,1,0,1,0,1,0,0,0,0,21,ITA,f058ed1f
25,25,2156,24.0,26,65,38,14,8,3,9,6,4,2,0,21,ITA,f0f7f62f
34,34,3060,34.0,53,182,129,6,10,18,6,5,5,0,0,21,ITA,f554e29b
1,0,23,0.3,1,2,1,0,0,0,0,0,0,0,0,21,ITA,f6a06749
4,4,334,3.7,11,18,7,0,1,3,0,0,0,0,0,21,ITA,f794b426
33,33,2970,33.0,29,105,73,18,9,6,12,6,3,3,0,22,ITA,01b8a2b2
7,7,556,6.2,8,26,17,3,0,4,2,2,1,1,0,22,ITA,085e71a7
2,2,177,2.0,2,9,7,1,1,0,0,0,0,0,0,22,ITA,0acda699
35,35,3150,35.0,50,141,92,10,14,11,7,7,5,0,2,22,ITA,0d422df7
3,3,270,3.0,5,17,11,0,2,1,1,2,1,1,0,22,ITA,0dfce079
37,37,3330,37.0,59,180,122,4,16,17,10,5,4,1,0,22,ITA,10dc46f0
17,16,1485,16.5,27,84,57,1,4,11,1,6,5,0,1,22,ITA,14a96e1c
16,16,1440,16.0,33,105,74,3,4,9,3,6,6,0,0,22,ITA,1e26e376
31,31,2761,30.7,52,165,116,9,5,17,7,11,9,0,2,22,ITA,277da414
23,23,2070,23.0,29,86,58,12,6,5,7,1,1,0,0,22,ITA,339fe0e8
16,16,1392,15.5,24,78,54,4,8,4,1,3,3,0,0,22,ITA,343f753a
3,3,270,3.0,6,15,9,1,0,2,0,1,1,0,0,22,ITA,457cb02f
5,5,405,4.5,7,16,10,2,1,2,1,0,0,0,0,22,ITA,4c62d0c8
23,21,1938,21.5,49,135,87,3,2,16,1,5,3,1,1,22,ITA,4f8ce0e1
1,1,90,1.0,0,3,3,1,0,0,1,0,0,0,0,22,ITA,53e494ec
1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,22,ITA,54f6afe3
29,29,2560,28.4,48,130,82,8,5,16,5,2,1,1,0,22,ITA,649b01d8
1,1,90,1.0,2,3,1,0,0,1,0,0,0,0,0,22,ITA,67f649be
37,37,3330,37.0,30,124,95,25,9,3,15,4,4,0,0,22,ITA,74419746
38,38,3420,38.0,70,216,150,10,11,17,7,10,5,2,3,22,ITA,77d6fd4d
38,38,3420,38.0,43,146,104,18,9,11,15,6,5,1,0,22,ITA,79b0d6a0
1,0,37,0.4,1,2,1,0,0,0,0,0,0,0,0,22,ITA,7b5f516f
31,31,2790,31.0,25,106,82,19,6,6,13,1,1,0,0,22,ITA,82b1198a
1,0,11,0.1,0,1,1,0,0,0,1,0,0,0,0,22,ITA,880fcdbb
37,37,3322,36.9,63,171,108,13,11,13,3,9,8,1,0,22,ITA,8cabdc1e
7,7,619,6.9,6,29,23,5,1,1,2,0,0,0,0,22,ITA,9413b19f
10,9,855,9.5,14,54,41,2,1,6,2,1,1,0,0,22,ITA,9f5a610b
27,27,2430,27.0,33,80,46,9,7,11,4,8,7,1,0,22,ITA,9fa26bc2
33,33,2932,32.6,42,119,80,16,8,9,8,4,3,0,1,22,ITA,a111cf41
1,1,90,1.0,5,8,3,0,0,1,0,0,0,0,0,22,ITA,a2565f79
36,36,3240,36.0,53,174,122,11,9,16,12,9,8,1,0,22,ITA,ab4449d6
5,5,450,5.0,5,18,13,0,3,2,2,2,2,0,0,22,ITA,ac4003af
1,0,3,0.0,0,1,1,0,0,0,1,0,0,0,0,22,ITA,ad263695
6,6,540,6.0,10,24,14,4,1,1,1,3,2,1,0,22,ITA,b056e3da
1,0,8,0.1,0,1,1,0,0,0,0,0,0,0,0,22,ITA,b1f0b916
34,34,3060,34.0,50,137,88,13,10,11,4,3,2,1,0,22,ITA,c1d95617
6,6,495,5.5,9,39,30,2,1,3,0,0,0,0,0,22,ITA,c9c32262
7,7,630,7.0,19,43,23,1,1,5,0,2,1,1,0,22,ITA,cc1a0c57
3,3,270,3.0,8,21,13,1,0,2,1,0,0,0,0,22,ITA,cf1c23d8
1,0,5,0.1,1,1,0,0,0,0,0,1,1,0,0,22,ITA,d7a35008
32,31,2862,31.8,43,100,58,16,5,10,9,3,2,1,0,22,ITA,e1b0a70d
15,15,1350,15.0,29,60,31,6,4,5,2,5,4,0,1,22,ITA,e358587b
1,1,90,1.0,3,7,4,0,1,0,0,0,0,0,0,22,ITA,ec1f737d
10,10,900,10.0,8,41,32,3,4,3,4,3,2,1,0,22,ITA,ee833569
1,1,90,1.0,1,4,3,0,0,1,0,0,0,0,0,22,ITA,f02dde20
1,1,90,1.0,3,5,2,0,0,1,0,0,0,0,0,22,ITA,f058ed1f
35,35,3150,35.0,63,168,104,6,10,19,2,8,6,2,0,22,ITA,f554e29b
1,0,45,0.5,1,2,1,0,0,0,0,1,1,0,0,22,ITA,f6a06749
32,32,2880,32.0,21,101,81,22,7,3,17,2,2,0,0,22,ITA,fcb38f57
3,3,270,3.0,5,11,6,0,0,3,0,0,0,0,0,23,ITA,00a17eba
20,20,1752,19.5,16,58,42,14,2,4,12,0,0,0,0,23,ITA,01b8a2b2
25,25,2136,23.7,38,130,91,5,7,13,4,5,3,1,1,23,ITA,085e71a7
27,27,2430,27.0,31,94,65,9,11,7,8,4,4,0,0,23,ITA,0d422df7
1,1,90,1.0,0,5,5,1,0,0,1,0,0,0,0,23,ITA,10dc46f0
2,2,180,2.0,5,13,8,1,0,1,0,1,0,0,1,23,ITA,14ae023f
10,10,900,10.0,20,56,35,2,4,4,2,3,2,1,0,23,ITA,1e9bde92
27,26,2423,26.9,19,90,71,14,7,5,16,1,1,0,0,23,ITA,277da414
1,1,5,0.1,0,0,0,1,0,0,0,0,0,0,0,23,ITA,3318286e
17,17,1530,17.0,27,87,57,4,5,8,3,7,4,3,0,23,ITA,343f753a
9,8,768,8.5,6,34,27,4,3,1,5,2,1,1,0,23,ITA,4c62d0c8
26,26,2340,26.0,34,109,76,9,7,10,7,0,0,0,0,23,ITA,4e0c8d66
1,0,74,0.8,2,3,1,0,0,0,0,0,0,0,0,23,ITA,54f6afe3
25,25,2250,25.0,39,121,82,2,6,17,4,7,5,2,0,23,ITA,649b01d8
9,9,810,9.0,19,64,45,0,3,6,1,3,3,0,0,23,ITA,67f649be
10,10,900,10.0,16,39,24,5,0,5,2,1,1,0,0,23,ITA,74419746
24,24,2160,24.0,31,104,73,6,10,8,7,4,2,1,1,23,ITA,77d6fd4d
27,27,2430,27.0,26,86,61,14,5,8,10,2,2,0,0,23,ITA,79b0d6a0
25,25,2250,25.0,37,84,47,10,5,10,8,3,3,0,0,23,ITA,8cabdc1e
19,19,1710,19.0,33,102,70,1,7,11,2,2,2,0,0,23,ITA,8ec56e62
26,26,2340,26.0,16,64,47,22,2,2,13,2,1,1,0,23,ITA,9413b19f
27,27,2430,27.0,32,116,86,6,9,12,3,4,4,0,0,23,ITA,9f5a610b
27,27,2430,27.0,33,102,69,10,7,10,7,5,4,0,1,23,ITA,9fa26bc2
22,22,1897,21.1,23,79,58,12,4,6,7,2,2,0,0,23,ITA,a111cf41
27,27,2430,27.0,36,116,81,10,7,10,5,7,6,1,0,23,ITA,ab4449d6
7,6,623,6.9,9,26,17,2,2,2,2,0,0,0,0,23,ITA,ac4003af
16,16,1440,16.0,22,61,40,9,3,4,4,2,2,0,0,23,ITA,b056e3da
1,1,90,1.0,0,4,4,0,1,0,1,0,0,0,0,23,ITA,b9e11c1d
27,27,2430,27.0,42,131,89,4,6,17,3,1,0,1,0,23,ITA,c1d95617
3,2,154,1.7,1,6,5,0,2,0,0,0,0,0,0,23,ITA,cc1a0c57
24,24,2160,24.0,29,81,53,9,5,10,5,3,3,0,0,23,ITA,e1b0a70d
18,18,1620,18.0,16,58,43,11,2,5,7,2,2,0,0,23,ITA,e9c0c1b2
2,2,180,2.0,3,6,3,0,1,1,0,1,1,0,0,23,ITA,f058ed1f
4,4,360,4.0,2,11,9,2,2,0,3,0,0,0,0,23,ITA,f0f7f62f
1,1,90,1.0,3,5,2,0,0,1,0,0,0,0,0,23,ITA,f554e29b
1,0,66,0.7,2,3,1,0,0,0,0,0,0,0,0,23,ITA,f794b426
11,11,990,11.0,14,37,22,5,3,3,3,3,2,1,0,23,ITA,fcb38f57
9,9,765,8.5,8,33,24,3,2,4,2,3,2,1,0,18,SPA,011d8c56
1,1,90,1.0,1,7,6,1,0,0,0,0,0,0,0,18,SPA,04ac8285
4,4,360,4.0,10,20,10,0,0,4,0,2,2,0,0,18,SPA,113fb4ea
2,1,97,1.1,4,5,1,0,0,1,0,0,0,0,0,18,SPA,1fa85681
29,28,2566,28.5,31,124,92,9,8,11,9,4,3,1,0,18,SPA,20b9f052
28,27,2477,27.5,58,134,77,3,9,15,4,3,2,1,0,18,SPA,24279b8b
9,8,765,8.5,13,36,25,1,3,4,2,0,0,0,0,18,SPA,26f2473f
30,30,2700,30.0,43,136,94,7,9,14,7,3,1,2,0,18,SPA,28d596a0
3,3,225,2.5,6,16,10,0,1,2,0,1,1,0,0,18,SPA,307fcd26
1,1,90,1.0,1,5,4,1,0,0,0,0,0,0,0,18,SPA,581c5276
10,10,900,10.0,11,29,19,6,2,2,3,0,0,0,0,18,SPA,58bc7d18
24,23,2155,24.0,39,92,52,10,3,10,9,5,3,1,1,18,SPA,5f0241b2
2,2,121,1.3,3,5,2,0,1,1,0,0,0,0,0,18,SPA,60713cb3
1,1,90,1.0,0,5,5,0,1,0,1,0,0,0,0,18,SPA,61bb7498
26,26,2340,26.0,45,105,61,10,5,11,6,5,4,1,0,18,SPA,625c144a
30,30,2700,30.0,53,132,82,14,4,12,9,4,3,1,0,18,SPA,65d62814
37,37,3330,37.0,28,126,98,27,9,1,19,2,2,0,0,18,SPA,6f51e382
11,11,990,11.0,15,53,38,2,6,3,3,0,0,0,0,18,SPA,6fb59070
10,10,854,9.5,11,40,30,3,5,2,3,2,1,1,0,18,SPA,73683fa9
35,35,3150,35.0,43,139,95,11,7,17,14,6,5,1,0,18,SPA,75751c99
5,5,450,5.0,7,19,12,2,1,2,2,1,1,0,0,18,SPA,7956236f
2,2,180,2.0,6,9,3,0,0,2,0,1,1,0,0,18,SPA,7a9fae62
4,4,309,3.4,0,8,8,3,1,0,3,0,0,0,0,18,SPA,7c218bf9
17,16,1475,16.4,29,75,47,3,6,7,3,1,1,0,0,18,SPA,8875b8c9
27,27,2430,27.0,47,149,103,4,5,18,4,3,3,0,0,18,SPA,8d957256
15,15,1265,14.0,19,58,40,7,4,4,5,3,2,0,1,18,SPA,8f8c6934
8,8,720,8.0,6,30,23,3,4,1,4,3,2,1,0,18,SPA,9109185e
22,22,1941,21.6,31,86,55,10,4,8,4,4,3,0,1,18,SPA,967f34d3
38,37,3357,37.3,50,171,121,15,2,20,12,10,7,2,1,18,SPA,97852360
1,1,90,1.0,2,8,6,1,0,0,0,0,0,0,0,18,SPA,983ccabe
1,1,63,0.7,0,1,1,0,0,1,0,0,0,0,0,18,SPA,9970da54
23,23,2070,23.0,30,93,60,12,3,8,6,6,3,3,0,18,SPA,9f0ea33f
33,33,2970,33.0,33,143,108,18,7,8,10,5,3,2,0,18,SPA,a9dc785c
13,12,1125,12.5,14,48,34,6,3,3,5,1,1,0,0,18,SPA,aad4f74f
33,33,2970,33.0,26,111,84,13,9,11,12,3,1,1,1,18,SPA,ab13a5aa
36,36,3240,36.0,49,124,78,13,8,15,10,4,4,0,0,18,SPA,ac295d9e
26,26,2340,26.0,39,122,85,9,7,10,7,6,5,0,1,18,SPA,b5bdf144
34,34,3060,34.0,51,150,98,5,5,24,6,5,4,1,0,18,SPA,ba3ca78f
5,4,411,4.6,8,16,8,1,1,2,1,0,0,0,0,18,SPA,bfa29677
1,1,90,1.0,4,8,4,0,0,1,0,0,0,0,0,18,SPA,bfb15d99
1,1,90,1.0,0,3,3,1,0,0,1,0,0,0,0,18,SPA,c0b1a6da
1,1,90,1.0,2,4,2,0,1,0,0,0,0,0,0,18,SPA,c818c4d9
5,5,450,5.0,5,21,16,4,0,1,2,0,0,0,0,18,SPA,c9cb972b
1,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,18,SPA,c9e39d91
2,2,180,2.0,2,9,7,0,1,1,1,1,1,0,0,18,SPA,cfd68aa7
6,6,540,6.0,9,26,18,3,0,3,1,1,1,0,0,18,SPA,d24e154c
4,3,315,3.5,6,11,5,1,0,2,2,0,0,0,0,18,SPA,dc4511f3
27,27,2430,27.0,31,111,79,16,7,4,7,4,2,2,0,18,SPA,ecada4fc
37,37,3330,37.0,22,126,102,22,10,5,22,4,1,3,0,18,SPA,ee8508c0
30,30,2655,29.5,46,139,94,13,6,11,9,5,4,0,1,18,SPA,f6798fc3
11,11,990,11.0,27,66,39,1,2,8,1,2,2,0,0,18,SPA,f69e9eee
11,11,990,11.0,11,33,22,3,2,6,2,0,0,0,0,19,SPA,011d8c56
3,3,270,3.0,4,14,10,1,1,1,1,1,1,0,0,19,SPA,04ac8285
12,12,1080,12.0,19,46,28,1,4,7,0,2,2,0,0,19,SPA,129dd8e7
1,1,90,1.0,1,2,1,0,0,1,0,1,1,0,0,19,SPA,17a1299d
17,17,1530,17.0,35,87,50,3,4,10,4,4,1,3,0,19,SPA,17d9e354
27,27,2430,27.0,36,104,67,14,3,10,8,8,6,1,1,19,SPA,1840e36d
33,33,2970,33.0,47,134,86,12,7,14,10,4,3,1,0,19,SPA,20b9f052
7,6,558,6.2,10,39,30,1,0,5,1,2,2,0,0,19,SPA,26f2473f
5,4,364,4.1,5,19,13,1,0,3,2,2,1,1,0,19,SPA,3061e1ec
6,6,540,6.0,7,23,16,3,2,1,2,1,1,0,0,19,SPA,307fcd26
4,4,359,4.0,2,11,9,4,0,0,2,1,1,0,0,19,SPA,5512b1a9
15,14,1260,14.0,20,46,27,2,8,4,4,0,0,0,0,19,SPA,581c5276
7,7,630,7.0,13,33,20,1,4,2,0,2,2,0,0,19,SPA,5dcf3e90
3,3,270,3.0,6,12,6,0,2,1,0,1,1,0,0,19,SPA,61bb7498
27,27,2430,27.0,35,109,75,10,9,8,7,3,2,1,0,19,SPA,625c144a
2,1,90,1.0,2,7,5,0,1,0,0,0,0,0,0,19,SPA,65d62814
35,35,3150,35.0,32,116,85,25,8,2,16,1,1,0,0,19,SPA,6f51e382
38,38,3420,38.0,50,167,117,14,11,13,10,8,6,2,0,19,SPA,73683fa9
34,34,3056,33.9,38,115,78,10,12,12,9,2,2,0,0,19,SPA,75751c99
33,33,2970,33.0,44,143,98,13,8,12,8,5,4,1,0,19,SPA,7b456af7
13,13,1170,13.0,22,58,37,3,5,5,2,2,2,0,0,19,SPA,8875b8c9
1,1,90,1.0,1,1,0,1,0,0,0,0,0,0,0,19,SPA,8d957256
37,37,3330,37.0,34,133,99,14,14,9,13,6,4,1,1,19,SPA,8f8c6934
35,35,3150,35.0,45,143,96,10,9,16,9,8,5,3,0,19,SPA,8fae77ea
31,31,2790,31.0,32,87,55,12,10,9,10,3,3,0,0,19,SPA,9109185e
25,25,2250,25.0,40,109,69,7,6,12,6,5,4,0,1,19,SPA,967f34d3
35,35,3150,35.0,46,154,110,11,11,13,8,6,6,0,0,19,SPA,97852360
3,3,270,3.0,4,13,9,2,0,1,0,0,0,0,0,19,SPA,9970da54
32,32,2880,32.0,45,162,119,7,12,13,9,4,2,1,1,19,SPA,9f0ea33f
16,16,1440,16.0,24,83,60,4,5,7,2,4,4,0,0,19,SPA,a01c3d54
34,34,3060,34.0,34,139,106,13,14,7,10,8,7,1,0,19,SPA,a9dc785c
24,24,2160,24.0,30,86,55,9,6,9,5,4,3,1,0,19,SPA,ac295d9e
21,21,1890,21.0,40,135,95,7,5,9,5,5,4,1,0,19,SPA,b5bdf144
20,20,1800,20.0,30,96,67,5,7,8,6,6,6,0,0,19,SPA,bca21ef3
1,1,90,1.0,2,8,6,0,1,0,0,0,0,0,0,19,SPA,bfb15d99
6,6,540,6.0,16,32,17,1,1,4,0,1,1,0,0,19,SPA,c0b1a6da
1,1,90,1.0,2,3,1,1,0,0,0,0,0,0,0,19,SPA,c818c4d9
4,4,360,4.0,1,13,12,2,2,0,3,0,0,0,0,19,SPA,c9cb972b
5,5,450,5.0,5,21,16,2,1,2,1,1,1,0,0,19,SPA,cda0b317
10,10,900,10.0,8,31,23,6,2,2,4,0,0,0,0,19,SPA,ecada4fc
37,37,3330,37.0,27,129,104,22,9,6,20,5,5,0,0,19,SPA,ee8508c0
32,32,2862,31.8,43,166,124,8,10,14,8,6,6,0,0,19,SPA,f6798fc3
21,21,1890,21.0,35,95,59,5,4,12,3,7,6,1,0,19,SPA,fc70e345
13,13,1170,13.0,16,51,36,5,4,4,3,1,0,0,1,20,SPA,011d8c56
24,24,2096,23.3,30,109,78,10,7,7,5,8,6,2,0,20,SPA,04ac8285
34,34,3060,34.0,20,96,76,23,8,3,18,0,0,0,0,20,SPA,1840e36d
19,18,1583,17.6,24,54,30,5,9,4,4,3,3,0,0,20,SPA,24279b8b
4,4,360,4.0,5,14,9,3,1,0,1,2,2,0,0,20,SPA,2f965a72
4,4,360,4.0,8,19,12,1,2,1,1,3,3,0,0,20,SPA,307fcd26
25,25,2250,25.0,32,93,60,11,4,10,6,8,7,1,0,20,SPA,374ee424
6,5,531,5.9,12,24,12,1,0,4,1,0,0,0,0,20,SPA,4df0dff8
11,11,990,11.0,18,39,22,1,3,7,1,5,5,0,0,20,SPA,5512b1a9
34,34,2991,33.2,29,109,82,13,9,12,12,7,5,0,2,20,SPA,5dcf3e90
36,36,3240,36.0,60,179,119,9,5,22,5,15,14,1,0,20,SPA,605eb473
4,4,270,3.0,5,16,10,2,0,1,1,1,0,1,0,20,SPA,61bb7498
1,0,25,0.3,0,1,1,0,0,0,0,0,0,0,0,20,SPA,65d62814
3,3,270,3.0,3,14,11,1,0,2,1,0,0,0,0,20,SPA,67669ce7
36,36,3240,36.0,36,116,79,24,6,6,14,7,6,1,0,20,SPA,6f51e382
