live_pass,dead_pass,fk_pass,tb_pass,sw_pass,cross_pass,throw_in,ck,ck_in,ck_out,ck_straight,offside_pass,blocked_pass,season,comp,id
722,34,11,9,2,61,11,3,1,2,0,1,39,18,ENG,00459419
1180,35,19,1,5,1,16,0,0,0,0,3,4,18,ENG,008a6e6d
101,2,2,0,2,0,0,0,0,0,0,0,2,18,ENG,00963611
1549,395,34,1,3,136,328,33,22,5,2,10,70,18,ENG,01226327
2212,60,35,2,16,26,2,0,0,0,0,6,44,18,ENG,02b29014
383,36,16,1,6,32,8,11,8,3,0,1,5,18,ENG,032f894e
10,0,0,0,0,1,0,0,0,0,0,1,1,18,ENG,0356cf4f
384,129,1,0,1,28,128,0,0,0,0,3,16,18,ENG,0420d84f
111,30,0,0,0,7,30,0,0,0,0,0,5,18,ENG,0442183b
78,1,1,0,1,3,0,0,0,0,0,0,5,18,ENG,07802f7f
1658,299,23,3,10,79,276,0,0,0,0,5,39,18,ENG,08aa17d0
620,225,13,0,5,46,212,0,0,0,0,4,32,18,ENG,099e666f
7,1,0,0,0,2,0,1,1,0,0,0,0,18,ENG,0c61c77c
5,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,0cc5f4a5
3035,45,41,3,39,2,4,0,0,0,0,2,11,18,ENG,0d267745
1507,63,54,2,4,0,9,0,0,0,0,6,18,18,ENG,0db5d2c8
670,11,3,1,5,35,5,0,0,0,0,7,29,18,ENG,0e6bc38c
674,76,19,17,5,58,2,53,21,22,0,8,18,18,ENG,0ef89a37
56,15,5,0,0,0,0,0,0,0,0,0,0,18,ENG,10072610
2926,65,57,18,15,9,7,1,0,0,0,8,29,18,ENG,101da2b5
19,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,10b9fa99
1607,192,20,0,12,13,172,0,0,0,0,2,15,18,ENG,111c3236
36,19,5,0,0,0,0,0,0,0,0,1,0,18,ENG,1148323a
801,25,12,1,10,2,13,0,0,0,0,0,3,18,ENG,119b9a8e
813,150,18,1,6,51,129,3,2,1,0,1,17,18,ENG,11b9265b
555,40,1,3,6,19,0,0,0,0,0,5,21,18,ENG,129af0db
1012,500,64,0,6,210,344,92,44,41,0,9,55,18,ENG,12aa7661
1078,17,17,0,25,4,0,0,0,0,0,7,3,18,ENG,15ea812b
18,0,0,0,2,2,0,0,0,0,0,0,0,18,ENG,15f3ec41
98,5,0,0,1,3,1,0,0,0,0,0,7,18,ENG,15fd5593
1794,129,31,18,8,98,16,76,45,16,3,10,43,18,ENG,16380240
8,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,1695c659
362,17,0,5,1,3,1,0,0,0,0,1,6,18,ENG,16ceb862
897,300,52,0,0,0,0,0,0,0,0,5,1,18,ENG,1840e36d
1042,59,23,6,19,49,4,26,18,8,0,4,20,18,ENG,184e4970
363,30,3,4,5,18,2,1,0,0,0,2,12,18,ENG,189cee7b
1695,35,24,3,35,10,11,0,0,0,0,5,7,18,ENG,18b896d6
112,3,3,0,1,0,0,0,0,0,0,0,2,18,ENG,18e96f64
709,14,2,3,0,84,6,5,5,0,0,2,46,18,ENG,1931bde9
11,0,0,0,0,4,0,0,0,0,0,0,2,18,ENG,199ff86e
442,5,1,0,1,22,3,1,0,0,0,2,19,18,ENG,19b8b0b9
512,22,0,2,2,9,2,0,0,0,0,2,9,18,ENG,19ba6c6d
508,68,7,0,5,9,61,0,0,0,0,5,10,18,ENG,1a160ea3
1769,43,38,0,9,4,5,0,0,0,0,2,5,18,ENG,1a2935f6
249,61,1,0,2,0,60,0,0,0,0,0,1,18,ENG,1a4ef233
426,157,10,0,2,19,147,0,0,0,0,4,9,18,ENG,1ae30132
176,40,1,0,1,15,39,0,0,0,0,1,4,18,ENG,1b780599
153,9,1,1,1,4,0,0,0,0,0,1,3,18,ENG,1b7ec703
17,9,0,0,0,0,0,0,0,0,0,0,0,18,ENG,1bebde9d
93,30,1,0,0,10,29,0,0,0,0,0,5,18,ENG,1bf811d4
568,17,9,1,1,5,7,0,0,0,0,3,9,18,ENG,1c7012b8
1314,38,35,1,1,0,3,0,0,0,0,5,6,18,ENG,1cb49278
171,5,0,0,0,15,1,3,2,0,0,1,9,18,ENG,1d387eee
262,4,0,0,0,1,0,0,0,0,0,3,3,18,ENG,1d6ac165
800,100,55,1,18,62,2,42,31,9,0,3,11,18,ENG,1d8c99b0
1617,243,65,1,28,78,176,2,0,1,0,4,36,18,ENG,1e0b6a73
15,10,3,0,0,0,0,0,0,0,0,0,0,18,ENG,1e26e376
347,30,1,0,2,48,3,3,0,1,0,1,16,18,ENG,1ecb65be
1054,248,10,0,4,64,238,0,0,0,0,8,39,18,ENG,1ef37668
314,73,7,0,1,10,66,0,0,0,0,3,12,18,ENG,1f9a3a04
920,198,21,1,7,35,171,6,2,0,0,1,27,18,ENG,20b104bc
